"","schoolcode","choicepgm","schoolname","sssdistrict","ssslong","ssslat","cutoff","quality","size"
"1",100101,"General Arts","WA SENIOR HIGH/TECHNICAL SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,198,244.392405063291,79
"2",100101,"Home Economics","WA SENIOR HIGH/TECHNICAL SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,199,229.45,40
"3",100101,"Technical","WA SENIOR HIGH/TECHNICAL SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,201,235.102040816327,49
"4",100102,"Agriculture","WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,273,292.555555555556,90
"5",100102,"Business","WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,283,303.344444444444,90
"6",100102,"General Arts","WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,291,311.111111111111,90
"7",100102,"General Science","WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,273,298.433333333333,90
"8",100102,"Home Economics","WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,262,278.866666666667,45
"9",100102,"Visual Arts","WA SENIOR HIGH SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,250,275.2,45
"10",100104,"General Arts","LASSIE-TUOLO SNR SENIOR HIGH. SCHOOL, LASSIE","Wa Municipal",-2.28503036499023,10.0306215286255,319,337.444444444444,45
"11",100104,"General Science","LASSIE-TUOLO SNR SENIOR HIGH. SCHOOL, LASSIE","Wa Municipal",-2.28503036499023,10.0306215286255,313,334,45
"12",100104,"Home Economics","LASSIE-TUOLO SNR SENIOR HIGH. SCHOOL, LASSIE","Wa Municipal",-2.28503036499023,10.0306215286255,282,309.355555555556,45
"13",100105,"Business","ISLAMIC SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,251,268.0125,80
"14",100105,"General Arts","ISLAMIC SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,258,274.7375,80
"15",100105,"Home Economics","ISLAMIC SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,242,258.1625,80
"16",100106,"Agriculture","T. I. AHMADIYYA SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,223,240.625,40
"17",100106,"Business","T. I. AHMADIYYA SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,238,253.5,40
"18",100106,"General Arts","T. I. AHMADIYYA SENIOR HIGH. SCHOOL, WA","Wa Municipal",-2.28503036499023,10.0306215286255,248,268.975,40
"19",100201,"Business","NANDOM SENIOR HIGH SCHOOL, NANDOM","Lawra",-2.80094122886658,10.5463981628418,288,314.275,80
"20",100201,"General Arts","NANDOM SENIOR HIGH SCHOOL, NANDOM","Lawra",-2.80094122886658,10.5463981628418,319,339.025,40
"21",100201,"General Science","NANDOM SENIOR HIGH SCHOOL, NANDOM","Lawra",-2.80094122886658,10.5463981628418,334,356.1125,80
"22",100202,"Business","LAWRA SENIOR HIGH SCHOOL, LAWRA","Lawra",-2.80094122886658,10.5463981628418,230,261.485,200
"23",100202,"General Arts","LAWRA SENIOR HIGH SCHOOL, LAWRA","Lawra",-2.80094122886658,10.5463981628418,252,274.556,250
"24",100202,"General Science","LAWRA SENIOR HIGH SCHOOL, LAWRA","Lawra",-2.80094122886658,10.5463981628418,265,286.95,100
"25",100203,"Agriculture","EREMON SENIOR HIGH./TECH SCHOOL, EREMON","Lawra",-2.80094122886658,10.5463981628418,225,242.54,50
"26",100203,"Home Economics","EREMON SENIOR HIGH./TECH SCHOOL, EREMON","Lawra",-2.80094122886658,10.5463981628418,201,227.222222222222,36
"27",100203,"Technical","EREMON SENIOR HIGH./TECH SCHOOL, EREMON","Lawra",-2.80094122886658,10.5463981628418,200,223.1875,16
"28",100204,"Business","KO SENIOR HIGH SCHOOL, KO-NANDOM","Lawra",-2.80094122886658,10.5463981628418,204,226.5625,32
"29",100204,"General Arts","KO SENIOR HIGH SCHOOL, KO-NANDOM","Lawra",-2.80094122886658,10.5463981628418,194,229.15,40
"30",100204,"Home Economics","KO SENIOR HIGH SCHOOL, KO-NANDOM","Lawra",-2.80094122886658,10.5463981628418,202,230.705882352941,17
"31",100301,"Agriculture","ULLO SENIOR HIGH SCHOOL, ULLO","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745,201,224,52
"32",100301,"General Arts","ULLO SENIOR HIGH SCHOOL, ULLO","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745,197,233.470588235294,34
"33",100301,"Home Economics","ULLO SENIOR HIGH SCHOOL, ULLO","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745,195,223.3125,16
"34",100302,"Business","ST. FRANCIS GIRLS SCHOOL, JIRAPA","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745,264,295.02,50
"35",100302,"General Arts","ST. FRANCIS GIRLS SCHOOL, JIRAPA","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745,294,320.577777777778,90
"36",100302,"General Science","ST. FRANCIS GIRLS SCHOOL, JIRAPA","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745,285,318.266666666667,45
"37",100302,"Home Economics","ST. FRANCIS GIRLS SCHOOL, JIRAPA","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745,263,294.64,50
"38",100303,"Agriculture","PIINA SENIOR HIGH SCH","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745,207,231.288888888889,45
"39",100303,"Home Economics","PIINA SENIOR HIGH SCH","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745,201,229.954545454545,22
"40",100304,"Business","JIRAPA SNR SENIOR HIGH. SCHOOL, JIRAPA-TOWN","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745,225,248.94,50
"41",100304,"Home Economics","JIRAPA SNR SENIOR HIGH. SCHOOL, JIRAPA-TOWN","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745,227,241.38,50
"42",100304,"Visual Arts","JIRAPA SNR SENIOR HIGH. SCHOOL, JIRAPA-TOWN","Jirapa/Lambusie (Jirapa)",-2.58332252502441,10.6920347213745,195,236.805555555556,36
"43",100401,"Business","KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044,259,280.875,40
"44",100401,"General Arts","KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044,251,270.091666666667,120
"45",100401,"General Science","KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044,228,261.425,80
"46",100401,"Home Economics","KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044,245,259.45,40
"47",100401,"Visual Arts","KANTON SENIOR HIGH SCHOOL, TUMU","Sisala/Tumu (Tumu)",-1.73106586933136,10.5741777420044,206,240.25,40
